2,Dirt Big Block Modified,baseline
Steering Wheel Angle,Yaw Rate
120.002029,2.647195
119.013283,2.588112
118.024460,2.534778
117.008224,2.514772
116.019402,2.525792
115.003166,2.564437
114.014351,2.634799
113.025566,2.689903
112.009323,2.720150
111.020508,2.740106
110.004265,2.762795
109.015457,2.779300
108.026642,2.796906
107.010399,2.813780
106.021584,2.831864
105.005371,2.843626
104.016556,2.850330
103.027771,2.852071
102.011497,2.848320
101.022690,2.841410
100.006439,2.831457
99.017632,2.780526
98.001389,2.751086
97.012573,2.715027
96.023758,2.674795
95.007515,2.653999
94.018700,2.629764
93.002457,2.594346
92.013649,2.579561
91.024887,2.559272
90.008591,2.526439
89.019775,2.507391
88.003563,2.495486
87.014717,2.469654
86.025963,2.450970
85.009674,2.429550
84.020859,2.410454
83.004631,2.391517
82.015800,2.373744
81.027039,2.360030
80.010742,2.350856
79.021935,2.353435
78.005684,2.380824
77.016876,2.364384
76.000633,2.342974
75.011818,2.323182
74.023056,2.303226
73.006760,2.290636
72.017944,2.202115
71.001701,2.090817
70.012894,2.060583
69.024109,2.018509
68.007835,2.009562
67.018997,1.971850
66.002754,1.952229
65.013939,1.925987
64.025177,1.903632
63.008881,1.872919
62.020069,1.850730
61.003826,1.830716
60.015011,1.955657
59.026226,2.052239
58.009926,1.985424
57.021172,1.916476
56.004875,1.842220
55.016060,1.770466
54.027275,1.447108
53.011005,1.531607
52.022217,1.468144
51.005924,1.507466
50.017109,1.498331
49.000866,1.503631
48.012054,1.497042
47.023270,1.481462
46.006969,1.427104
45.018211,1.414604
44.001915,1.397203
43.013073,1.385817
42.024315,1.372698
41.008018,1.356676
40.019230,1.335687
39.002964,1.311394
38.014122,1.284867
37.025364,1.256591
36.009068,1.225428
35.020279,1.192752
34.003983,1.156717
33.015167,1.118965
32.026382,1.078222
31.010088,1.034672
30.021326,0.988827
29.005032,0.940804
28.016247,0.900369
27.027433,0.863038
26.011137,0.826101
25.022348,0.831981
24.006052,0.792379
23.017294,0.753379
22.000998,0.715181
21.012157,0.679512
20.023371,0.645737
19.007101,0.613982
18.018314,0.582700
17.002018,0.551804
16.013233,0.522024
15.024419,0.492839
14.008123,0.463889
13.019336,0.435790
12.003040,0.407780
11.014254,0.380505
10.025441,0.353841
9.009144,0.327253
8.020358,0.312803
7.004062,0.300746
6.015275,0.286899
5.026462,0.272510
4.010166,0.256909
3.021353,0.241503
2.005083,0.225827
1.016323,0.210698
0.000000,0.195094
-0.988760,0.180031
-1.977626,0.164950
-2.993896,0.149585
-3.982709,0.134729
-4.998979,0.119364
-5.987792,0.104607
-6.976604,0.089808
-7.992875,0.074547
-8.981688,0.059662
-9.997957,0.044352
-10.986771,0.029615
-11.975583,0.014756
-12.991853,0.004107
-13.980665,0.014968
-14.996989,0.029969
-15.985749,0.044621
-16.974613,0.059369
-17.990831,0.074428
-18.979698,0.089486
-19.995966,0.105052
-20.984779,0.118685
-21.973593,0.090401
-22.989862,0.110311
-23.978676,0.137446
-24.994999,0.161495
-25.983759,0.186623
-27.000082,0.207022
-27.988842,0.212571
-28.977654,0.188653
-29.993923,0.216060
-30.982737,0.249250
-31.999060,0.275981
-32.987873,0.302567
-33.976685,0.331006
-34.992954,0.356860
-35.981770,0.383359
-36.998093,0.409411
-37.986855,0.436135
-38.975719,0.462759
-39.991932,0.489894
-40.980801,0.516837
-41.997017,0.544338
-42.985882,0.570680
-43.974697,0.597788
-44.990967,0.624676
-45.979778,0.652297
-46.996048,0.678969
-47.984913,0.707467
-48.973728,0.733194
-49.989998,0.760818
-50.978813,0.787452
-51.995083,0.815242
-52.983894,0.842257
-54.000217,0.869565
-54.989029,0.896699
-55.977844,0.923494
-56.994110,0.950745
-57.982929,0.978268
-58.999199,1.005952
-59.988010,1.031896
-60.976871,1.058680
-61.993145,1.086044
-62.981956,1.111812
-63.998226,0.921135
-64.987038,0.848085
-65.975906,0.873301
-66.992180,0.918533
-67.980995,0.939299
-68.997253,0.968911
-69.986069,0.996025
-70.974884,1.024129
-71.991211,1.052533
-72.980019,1.080675
-73.996292,1.109215
-74.985161,1.136605
-75.973915,1.165584
-76.990234,1.194903
-77.979050,1.222773
-78.995323,1.252065
-79.984192,1.279621
-81.000404,1.307734
-81.989273,1.335904
-82.978142,1.364025
-83.994354,1.392846
-84.983215,1.420916
-85.999489,1.449725
-86.988304,1.477862
-87.977112,1.505251
-88.993439,1.535614
-89.982254,1.562612
-90.998520,1.590834
-91.987381,1.619012
-92.976151,1.646873
-93.992470,1.674867
-94.981339,1.702100
-95.997551,1.732260
-96.986420,1.758261
-97.975182,1.785360
-98.991501,1.814292
-99.980316,1.841181
-100.996635,1.868519
-101.985451,1.896212
-103.001717,1.923371
-103.990585,1.950180
-104.979347,1.977645
-105.995674,2.005360
-106.984535,2.031302
-108.000801,2.058413
-108.989616,2.085263
-109.978432,2.110239
-110.994759,2.136511
-111.983620,2.163267
-112.999840,2.189121
-113.988701,2.214143
-114.977516,2.239186
-115.993790,2.264280
-116.982597,2.288769
-117.998917,2.313601
-118.987793,2.337867
-119.976540,2.361466
